ID_NORMA,ID_ORDEN,NOMBRE,TIPO,ALCANCE,ESTADO,COD_ORGANO,ORGANO,COD_UD_ORGANICA,UD_ORGANICA,COD_PROCESO,PROCESO,DOC_APROBACION,NRO_DOC_APROBACION,FECHA_APROBACION,STD_APROBACION,DOC_DEROGACION,NRO_DOC_DEROGACION,FECHA_DEROGACION,STD_DEROGACION,LINK,EDITABLE
0011,or005,Formulación del plan operativo y presupuesto de empresas,Formato,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,-,-,E1.2.1,Gestión del Plan Operativo y Presupuestal de FONAFE,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0011_or005.pdf,0011_or005.pdf
0012,or004,"Formulación, aprobación y modificación del Plan Operativo y el Presupuesto de FONAFE",Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,-,-,E1.2.1,Gestión del Plan Operativo y Presupuestal de FONAFE,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0012_or004.pdf,0012_or004.pdf
0013,or006,Evaluación de la Gestión Empresarial y Presupuestal de FONAFE,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,-,-,E1.2.1,Gestión del Plan Operativo y Presupuestal de FONAFE,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0013_or006.pdf,0013_or006.pdf
0014,or002,Evaluación del plan operativo y presupuesto de empresas,Formato,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0014_or002.pdf,0014_or002.pdf
0015,or000,Plan Operativo,Formato,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0015_or000.pdf,0015_or000.pdf
0016,or003,Lineamiento Corporativo: “Gestión Operativa y Presupuestal”,Lineamiento Corporativo,Corporativo,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,RDE,RDE N° 093-2021/DE-FONAFE,30/12/21,301117,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0016_or003.pdf,0016_or003.pdf
0017,or000,"Lineamiento para la formulación, aprobación, modificación y evaluación del Plan Operativo Institucional del Banco de la Nación",Lineamiento,Corporativo,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,RDE,RDE N° 045-2022/DE-FONAFE,30/05/22,301398,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/0017_or000.pdf,0017_or000.pdf
0018,or000,"Lineamiento para que el Banco de la Nación apruebe o modifique su presupuesto, para cubrir necesidades de personal dentro de su Cuadro de Asignación de Personal (CAP) y/ de requerimientos tecnológicos del área informática",Lineamiento,Corporativo,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,RDE,RDE N° 044-2022/DE-FONAFE ,30/05/22,301396,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.2.2.LC3_or0.pdf,E1.2.2.LC3_or0.pdf
0019,or006,"Programación, formulación y aprobación del Presupuesto y Plan Operativo de las Empresas bajo el ámbito de FONAFE",Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.2.2.PR1_or6.pdf,E1.2.2.PR1_or6.pdf
0020,or004,Modificación del Presupuesto y Plan Operativo de las Empresas bajo el ámbito de FONAFE,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,Otro,-,26/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.2.2.PR2_or4.pdf,E1.2.2.PR2_or4.pdf
0021,or005,Monitoreo y evaluación de la ejecución del Plan Operativo y presupuesto de las Empresas y ESSALUD,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,Acta,Acta N° 023/EOP/2023,20/12/23,302823,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.2.2.PR3_or5.pdf,E1.2.2.PR3_or5.pdf
0022,or000,Conciliación del Proceso Presupuestal,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,Acta,Acta N° 023/EOP/2023,20/12/23,302823,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.2.2.PR4_or0.pdf,E1.2.2.PR4_or0.pdf
0023,or000,​Consolidación de información para el marco macroeconómico multianual,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,Acta, Acta N° 023/EOP/2023,20/12/23,302823,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.2.2.PR5_or0.pdf,E1.2.2.PR5_or0.pdf
0024,or000,Elaboración de la Memoria Anual de FONAFE​,Procedimiento,Interno,Vigente,GPC,Gerencia Corporativa de Planeamiento y Control de Gestion,PRC,Área Corporativa de Presupuesto,E1.2.2,Gestión del Plan Operativo y Presupuestal de las Empresas bajo el ámbito de FONAFE,Acta,Acta N° 023/EOP/2023,20/12/23,302823,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E1.2.2.PR6_or0.pdf,E1.2.2.PR6_or0.pdf
0025,or002,Sistema de Control Interno para las empresas bajo el ámbito de FONAFE,Lineamiento Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ACI,Área Corporativa de Cumplimiento e Integridad,E2.1,Administración de Gobernanza Corporativa,RDE,RDE N° 009-2019/DE-FONAFE ,15/01/19,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.1.0.LC1_or2.pdf,E2.1.0.LC1_or2.pdf
0026,or002,Código de Buen Gobierno Corporativo para las Empresas bajo el ámbito de FONAFE,Lineamiento Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.1,Administración de Gobernanza Corporativa,AD,AD N° 002-2013/003-FONAFE,08/03/13,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.1.0.LC2_or2.pdf,E2.1.0.LC2_or2.pdf
0027,or000,Puntos de interés del Sistema de Control Interno,Lineamiento Interno,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ACI,Área Corporativa de Cumplimiento e Integridad,E2.1,Administración de Gobernanza Corporativa,RDE,RDE N° 008-2019/DE-FONAFE,15/01/19,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.1.0.LI1_or0.pdf,E2.1.0.LI1_or0.pdf
0028,or000,Manual de la Herramienta Automatizada,Manual Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.1,Administración de Gobernanza Corporativa,RDE,RDE N° 123-2015/DE-FONAFE,24/12/15,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.1.0.MC3_or0.pdf,E2.1.0.MC3_or0.pdf
0029,or002,Autoevaluación del nivel de BGC y SCI de CCF,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.1,Administración de Gobernanza Corporativa,Otro,-,29/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.1.0.PR1_or2.pdf,E2.1.0.PR1_or2.pdf
0030,or012,Implementación y seguimiento del Plan trabajo de BGC y SCI de CCF,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.1,Administración de Gobernanza Corporativa,Otro,-,29/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.1.0.PR2_or12.pdf,E2.1.0.PR2_or12.pdf
0031,or002,Validación del nivel de implementación del BGC y SCI en las Empresas bajo el ámbito del FONAFE,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.1,Administración de Gobernanza Corporativa,Otro,-,29/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.1.0.PR3_or2.pdf,E2.1.0.PR3_or2.pdf
0032,or000,Seguimiento a la implementación de planes de acción sobre SCI de las Empresas bajo el ámbito de FONAFE,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ACI,Área Corporativa de Cumplimiento e Integridad,E2.1,Administración de Gobernanza Corporativa,Otro,-,29/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.1.0.PR4_or0.pdf,E2.1.0.PR4_or0.pdf
0033,or003,Ficha de evaluación de directores,Formato,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.2,Gestión de Directorios y Directores,Otro,-,17/07/20,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.2.0.FO1_or3.pdf,E2.2.0.FO1_or3.pdf
0034,or000,Archivo Negativo de Directores,Formato,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.2,Gestión de Directorios y Directores,Otro,-,23/12/19,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.2.0.FO4_or0.pdf,E2.2.0.FO4_or0.pdf
0035,or009,Libro Blanco: Lineamiento para la Gestión de Directorios y Directores de las empresas bajo el ámbito de FONAFE,Lineamiento Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.2,Gestión de Directorios y Directores,AD,AD N° 002-2022/005-FONAFE,03/05/22,189173,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.2.0.LC1_or9.pdf,E2.2.0.LC1_or9.pdf
0036,or006,​Selección de Directores de las Empresas bajo el ámbito de FONAFE,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.2,Gestión de Directorios y Directores,Otro,-,17/07/20,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.2.0.PR1_or6.pdf,E2.2.0.PR1_or6.pdf
0037,or002,​Selección de Directores Independientes de las Empresas bajo el ámbito del FONAFE,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.2,Gestión de Directorios y Directores,Acta,Acta N° 063/EOP/2020,29/10/20,300330,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.2.0.PR2_or2.pdf,E2.2.0.PR2_or2.pdf
0038,or002,​Evaluación de desempeño de la gestión del Directorio y de los Directores de las Empresas bajo el ámbito de FONAFE,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.2,Gestión de Directorios y Directores,Acta,Acta N° 027/EOP/2022,13/09/22,301613,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.2.0.PR3_or2.pdf,E2.2.0.PR3_or2.pdf
0039,or002,Control posterior de la veracidad de información y documentación proporcionada por los Directores de las Empresas bajo el ámbito de FONAFE​,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",BGC,Área de Gobierno Corporativo,E2.2,Gestión de Directorios y Directores,Acta,Acta N° 029/EOP/2022,21/09/22,301618,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.2.0.PR4_or2.pdf,E2.2.0.PR4_or2.pdf
0040,or002,​Lineamiento de Gestión Integral de Riesgos,Lineamiento Corporativo,Corporativo,Obsoleto,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.3,Gestión de Riesgos,RDE,RDE N° 093-2023/DE-FONAFE,21/12/23,301386,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.3.0.LC1_or2.pdf,E2.3.0.LC1_or2.pdf
0040,or003,Lineamiento de Gestión Integral de Riesgos,Lineamiento Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.3,Gestión de Riesgos,RDE,RDE N° 018-2025/DE-FONAFE,18/02/25,000035,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.3.0.LC-01.pdf,E2.3.0.LC-01.pdf
0041,or002,​Guía para la Gestión Integral de Riesgos,Manual Corporativo,Corporativo,Obsoleto,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.3,Gestión de Riesgos,RDE,RDE N° 093-2023/DE-FONAFE ,21/12/23,301386,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.3.0.MC1_or2.pdf,E2.3.0.MC1_or2.pdf
0041,or003,Guía para la Gestión Integral de Riesgos,Manual Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.3,Gestión de Riesgos,RDE,RDE N° 018-2025/DE-FONAFE,18/02/25,000035,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.3.0.MC-01.pdf,E2.3.0.MC-01.pdf
0042,or010,"Identificación, evaluación y respuesta a los riesgos de FONAFE",Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.3,Gestión de Riesgos,Otro,-,03/12/19,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.3.0.PR1_or10.pdf,E2.3.0.PR1_or10.pdf
0043,or009,"Seguimiento a la implementación de planes de acción de la matriz de riesgos de FONAFE				",Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.3,Gestión de Riesgos,Otro,-,16/12/19,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.3.0.PR2_or9.pdf,E2.3.0.PR2_or9.pdf
0044,or000,​Información de contacto,Formato,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.4,Continuidad Operativa y del Negocio,Acta,Acta N° 025/EOP/2021 ,11/05/21,300563,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.4.0.FO2_or0.pdf,E2.4.0.FO2_or0.pdf
0045,or000,​Matriz de comunicación con las partes interesadas frente a una crisis de FONAFE,Formato,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.4,Continuidad Operativa y del Negocio,Acta,Acta N° 025/EOP/2021 ,11/05/21,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.4.0.FO3_or0.pdf,E2.4.0.FO3_or0.pdf
0046,or000,​Plan de gestión de crisis de FONAFE,Lineamiento Interno,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.4,Continuidad Operativa y del Negocio,RDE,RDE N° 029-2021/DE-FONAFE,27/05/21,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.4.0.LI1_or0.pdf,E2.4.0.LI1_or0.pdf
0047,or000,Plan de comunicación en crisis de FONAFE,Lineamiento Interno,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.4,Continuidad Operativa y del Negocio,RDE,RDE N° 029-2021/DE-FONAFE,27/05/21,300339,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.4.0.LI2_or0.pdf,E2.4.0.LI2_or0.pdf
0048,or000,Manual Metodológico para la Implementación de la Continuidad Operativa,Manual Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.4,Continuidad Operativa y del Negocio,RDE,RDE N° 050-2020/DE-FONAFE,22/07/20,300068,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.4.0.MC1_or0.pdf,E2.4.0.MC1_or0.pdf
0049,_o001,Análisis del impacto de eventos en el negocio - BIA de FONAFE,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.4,Continuidad Operativa y del Negocio,Otro,-,29/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.4.0.PR1_or1.pdf,E2.4.0.PR1_or1.pdf
0050,or001,Desarrollo e implementación de la estrategia de continuidad de FONAFE,Procedimiento,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.4,Continuidad Operativa y del Negocio,Otro,-,29/10/18,-,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.4.0.PR2_or1.pdf,E2.4.0.PR2_or1.pdf
0051,or000,Solicitud de Derechos de Protección de Datos Personales - FONAFE,Formato,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.5,Seguridad de la Información,Acta,-,09/02/23,302025,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.5.0.FO4_or0.pdf,E2.5.0.FO4_or0.pdf
0052,or000,Lineamiento del Sistema de Gestión de Seguridad de la Información,Lineamiento Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.5,Seguridad de la Información,RDE,-,26/04/20,300001,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.5.0.LC1_or0.pdf,E2.5.0.LC1_or0.pdf
0053,or002,​Lineamiento para la ciberseguridad en redes OT para las Empresas bajo el ámbito de FONAFE del Sector Eléctrico​,Lineamiento Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.5,Seguridad de la Información,RDE,-,09/04/24,306926,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.5.0.LC-02_or0.pdf,E2.5.0.LC-02_or0.pdf
0054,or000,Protección de Datos Personales de FONAFE,Lineamiento Interno,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.5,Seguridad de la Información,RDE,-,09/02/23,301081,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.5.0.LI1_or0.pdf,E2.5.0.LI1_or0.pdf
0055,or000,Manual Metodológico para la Implementación del Sistema de Gestión de Seguridad de la Información,Manual Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.5,Seguridad de la Información,RDE,-,26/04/20,300001,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.5.0.MC1_or0.pdf,E2.5.0.MC1_or0.pdf
0056,or001,Metodología para la Gestión de Riesgos de Seguridad de la Información,Manual Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.5,Seguridad de la Información,RDE,-,14/02/22,300611,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.5.0.MC2_or1_Arreglo_RDE.pdf,E2.5.0.MC2_or1_Arreglo_RDE.pdf
0057,or000,Manual para el fortalecimiento de los activos como medida de mitigación de los riesgos de Ciberseguridad,Manual Corporativo,Corporativo,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.5,Seguridad de la Información,RDE,-,03/02/23,304685,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.5.0.MC3_or0.pdf,E2.5.0.MC3_or0.pdf
0058,or000,"Clasificación, Etiquetado y Manejo de la Información de FONAFE",Manual Interno,Interno,Vigente,GRC,"Gerencia Corporativa de Gobernanza, Riesgos y Cumplimiento",ARC,Área Corporativa de Riesgos,E2.5,Seguridad de la Información,Acta,-,19/09/22,301607,-,-,-,-,https://fonafegob.sharepoint.com/sites/fonafesig/RNG/E2.5.0.MI1_or0.pdf,E2.5.0.MI1_or0.pdf
